,JOIN,doubleheader,temperature_fahrenheit,season_game_number,days_since_last_game,pitches_p,ba_p,iso_p,babip_p,slg_p,woba_p,xwoba_p,xba_p,hits_p,abs_p,launch_speed_p,launch_angle_p,spin_rate_p,velocity_p,effective_speed_p,whiffs_p,swings_p,takes_p,eff_min_vel_p,release_extension_p,pitcher_run_exp_p,run_exp_p,pitches_h,ba_h,iso_h,babip_h,slg_h,woba_h,xwoba_h,xba_h,hits_h,abs_h,launch_speed_h,launch_angle_h,spin_rate_h,velocity_h,effective_speed_h,whiffs_h,swings_h,takes_h,eff_min_vel_h,release_extension_h,pitcher_run_exp_h,run_exp_h,duration,score,opp_score,opp_ScoreLine,winLoss_numeric
601,45038LAADH0,0,77,21,1.0,131,0.316,0.158,0.343,0.474,0.379,0.359,0.303,12,38,84.3,18.0,2180,88.2,88.36,17,76,55,0.2000000000000028,6.45,-5.4,5.4,128,0.308,0.333,0.308,0.641,0.396,0.399,0.33,12,39,92.7,11.6,2368,86.8,87.02,14,68,60,0.2000000000000028,6.54,-3.0,3.0,160,8,11,001203005,0
602,45038ATLDH0,0,68,21,1.0,144,0.275,0.15,0.29,0.425,0.308,0.457,0.356,11,40,90.7,10.5,2294,88.9,89.62,18,73,71,0.6999999999999886,6.71,-2.0,2.0,114,0.229,0.171,0.286,0.4,0.266,0.357,0.3,8,35,94.7,7.6,2438,89.3,86.32,18,59,55,-3.0,5.99,1.9,-1.9,142,3,6,000004011,0
603,45038HOUDH0,0,68,21,1.0,114,0.229,0.171,0.286,0.4,0.266,0.357,0.3,8,35,94.7,7.6,2438,89.3,86.32,18,59,55,-3.0,5.99,1.9,-1.9,144,0.275,0.15,0.29,0.425,0.308,0.457,0.356,11,40,90.7,10.5,2294,88.9,89.62,18,73,71,0.6999999999999886,6.71,-2.0,2.0,142,6,3,000102000,1
604,45038BALDH0,0,59,20,1.0,132,0.069,0.103,0.077,0.172,0.172,0.262,0.162,2,29,84.7,2.1,2184,86.8,87.43,25,49,83,0.6000000000000085,6.72,3.9,-3.9,127,0.2,0.133,0.263,0.333,0.269,0.291,0.219,6,30,86.3,26.7,2244,88.7,88.74,15,57,70,0.0,6.44,-0.3,0.3,135,5,1,000000100,1
605,45038DETDH0,0,59,19,1.0,127,0.2,0.133,0.263,0.333,0.269,0.291,0.219,6,30,86.3,26.7,2244,88.7,88.74,15,57,70,0.0,6.44,-0.3,0.3,132,0.069,0.103,0.077,0.172,0.172,0.262,0.162,2,29,84.7,2.1,2184,86.8,87.43,25,49,83,0.6000000000000085,6.72,3.9,-3.9,135,1,5,00410000x,0
606,45038CINDH0,0,56,21,1.0,112,0.276,0.241,0.381,0.517,0.332,0.285,0.26,8,29,86.4,23.7,2308,86.6,86.2,15,55,57,-0.4,6.02,1.4,-1.4,160,0.235,0.0,0.364,0.235,0.259,0.319,0.283,8,34,86.0,10.5,2307,83.3,83.27,20,66,94,0.0,6.43,3.7,-3.7,140,1,2,10010000x,0
607,45038PITDH0,0,56,22,1.0,160,0.235,0.0,0.364,0.235,0.259,0.319,0.283,8,34,86.0,10.5,2307,83.3,83.27,20,66,94,0.0,6.43,3.7,-3.7,112,0.276,0.241,0.381,0.517,0.332,0.285,0.26,8,29,86.4,23.7,2308,86.6,86.2,15,55,57,-0.4,6.02,1.4,-1.4,140,2,1,000010000,1
608,45038CLEDH1,1,50,20,3.0,161,0.226,0.161,0.24,0.387,0.339,0.406,0.296,7,31,89.9,12.9,2364,88.5,89.49,16,72,89,1.0,6.8,-2.2,2.2,124,0.138,0.034,0.182,0.172,0.17,0.249,0.194,4,29,90.2,26.2,2161,86.2,86.08,12,55,69,-0.1,6.12,3.0,-3.0,148,1,6,020001300,0
609,45038MIADH1,1,50,20,3.0,124,0.138,0.034,0.182,0.172,0.17,0.249,0.194,4,29,90.2,26.2,2161,86.2,86.08,12,55,69,-0.1,6.12,3.0,-3.0,161,0.226,0.161,0.24,0.387,0.339,0.406,0.296,7,31,89.9,12.9,2364,88.5,89.49,16,72,89,1.0,6.8,-2.2,2.2,148,6,1,000100000,1
610,45038CLEDH2,2,49,21,0.0,135,0.306,0.167,0.355,0.472,0.349,0.309,0.28,11,36,82.2,7.7,2105,87.1,87.66,15,73,62,0.6000000000000085,6.41,2.3,-2.3,137,0.219,0.031,0.269,0.25,0.272,0.355,0.322,7,32,86.6,3.8,2261,87.4,87.75,12,58,79,0.3999999999999915,6.44,1.3,-1.3,156,2,3,000102000,0
