,JOIN,doubleheader,temperature_fahrenheit,season_game_number,days_since_last_game,pitches_p,ba_p,iso_p,babip_p,slg_p,woba_p,xwoba_p,xba_p,hits_p,abs_p,launch_speed_p,launch_angle_p,spin_rate_p,velocity_p,effective_speed_p,whiffs_p,swings_p,takes_p,eff_min_vel_p,release_extension_p,pitcher_run_exp_p,run_exp_p,pitches_h,ba_h,iso_h,babip_h,slg_h,woba_h,xwoba_h,xba_h,hits_h,abs_h,launch_speed_h,launch_angle_h,spin_rate_h,velocity_h,effective_speed_h,whiffs_h,swings_h,takes_h,eff_min_vel_h,release_extension_h,pitcher_run_exp_h,run_exp_h,duration,score,opp_score,opp_ScoreLine,winLoss_numeric
0,45015BALDH0,0,38,1,1.0,153,0.324,0.118,0.407,0.441,0.366,0.341,0.262,11,34,90.4,4.8,2139,89.1,86.43,19,72,81,-2.7,6.52,-2.4,2.4,191,0.395,0.263,0.464,0.658,0.498,0.462,0.355,15,38,86.9,9.9,2283,87.8,81.27,13,78,113,-6.5,6.65,-5.5,5.5,190,10,9,100102032,1
1,45015BOSDH0,0,38,1,1.0,191,0.395,0.263,0.464,0.658,0.498,0.462,0.355,15,38,86.9,9.9,2283,87.8,81.27,13,78,113,-6.5,6.65,-5.5,5.5,153,0.324,0.118,0.407,0.441,0.366,0.341,0.262,11,34,90.4,4.8,2139,89.1,86.43,19,72,81,-2.7,6.52,-2.4,2.4,190,9,10,100430200,0
2,45015CHCDH0,0,42,1,1.0,133,0.138,0.0,0.235,0.138,0.206,0.234,0.161,4,29,87.6,2.9,2434,88.7,88.37,23,59,74,-0.3,5.91,4.9,-4.9,124,0.2,0.0,0.24,0.2,0.252,0.282,0.207,6,30,90.0,1.9,2556,90.5,91.02,14,59,65,0.5,6.47,0.6,-0.6,141,4,0,000000000,1
3,45015MILDH0,0,42,1,1.0,124,0.2,0.0,0.24,0.2,0.252,0.282,0.207,6,30,90.0,1.9,2556,90.5,91.02,14,59,65,0.5,6.47,0.6,-0.6,133,0.138,0.0,0.235,0.138,0.206,0.234,0.161,4,29,87.6,2.9,2434,88.7,88.37,23,59,74,-0.3,5.91,4.9,-4.9,141,0,4,00400000x,0
4,45015CINDH0,0,61,1,1.0,178,0.2,0.133,0.263,0.333,0.326,0.359,0.236,6,30,80.4,15.6,2241,92.1,86.59,19,77,101,-5.5,6.52,0.4,-0.4,165,0.212,0.182,0.353,0.394,0.321,0.296,0.191,7,33,84.4,5.4,2342,90.0,90.18,29,74,91,0.2000000000000028,6.43,0.1,-0.1,182,4,5,001300010,0
5,45015PITDH0,0,61,1,1.0,165,0.212,0.182,0.353,0.394,0.321,0.296,0.191,7,33,84.4,5.4,2342,90.0,90.18,29,74,91,0.2000000000000028,6.43,0.1,-0.1,178,0.2,0.133,0.263,0.333,0.326,0.359,0.236,6,30,80.4,15.6,2241,92.1,86.59,19,77,101,-5.5,6.52,0.4,-0.4,182,5,4,100120000,1
6,45015CWSDH0,0,73,1,1.0,141,0.133,0.1,0.188,0.233,0.205,0.276,0.176,4,30,91.9,7.1,2619,90.3,89.91,22,74,67,-0.4,6.26,3.1,-3.1,145,0.289,0.132,0.357,0.421,0.324,0.276,0.253,11,38,92.8,0.1,2375,89.6,89.03,20,75,70,-0.6,6.13,0.5,-0.5,158,3,2,000000101,1
7,45015HOUDH0,0,73,1,1.0,145,0.289,0.132,0.357,0.421,0.324,0.276,0.253,11,38,92.8,0.1,2375,89.6,89.03,20,75,70,-0.6,6.13,0.5,-0.5,141,0.133,0.1,0.188,0.233,0.205,0.276,0.176,4,30,91.9,7.1,2619,90.3,89.91,22,74,67,-0.4,6.26,3.1,-3.1,158,2,3,000000012,0
8,45015KCDH0,0,67,1,1.0,156,0.297,0.054,0.393,0.351,0.321,0.311,0.264,11,37,93.5,18.6,2335,86.8,86.96,20,76,80,0.2000000000000028,6.24,1.7,-1.7,127,0.074,0.037,0.125,0.111,0.192,0.235,0.132,2,27,87.7,8.8,2372,90.7,92.01,24,58,69,1.2999999999999972,6.94,3.9,-3.9,152,0,2,000002000,0
9,45015MINDH0,0,67,1,1.0,127,0.074,0.037,0.125,0.111,0.192,0.235,0.132,2,27,87.7,8.8,2372,90.7,92.01,24,58,69,1.2999999999999972,6.94,3.9,-3.9,156,0.297,0.054,0.393,0.351,0.321,0.311,0.264,11,37,93.5,18.6,2335,86.8,86.96,20,76,80,0.2000000000000028,6.24,1.7,-1.7,152,2,0,000000000,1
10,45015AZDH0,0,54,1,1.0,158,0.353,0.147,0.5,0.5,0.398,0.365,0.318,12,34,90.3,20.2,2310,89.5,89.99,23,74,84,0.5,6.55,-3.7,3.7,114,0.143,0.036,0.19,0.179,0.154,0.234,0.198,4,28,90.0,21.0,2427,87.6,87.21,15,59,55,-0.4,6.04,2.2,-2.2,155,2,8,00203201x,0
11,45015LADDH0,0,54,1,1.0,114,0.143,0.036,0.19,0.179,0.154,0.234,0.198,4,28,90.0,21.0,2427,87.6,87.21,15,59,55,-0.4,6.04,2.2,-2.2,158,0.353,0.147,0.5,0.5,0.398,0.365,0.318,12,34,90.3,20.2,2310,89.5,89.99,23,74,84,0.5,6.55,-3.7,3.7,155,8,2,110000000,1
12,45015MIADH0,0,76,1,1.0,157,0.25,0.031,0.276,0.281,0.291,0.333,0.261,8,32,90.1,-5.4,2271,92.7,92.24,21,77,80,-0.5,6.14,0.9,-0.9,137,0.167,0.2,0.235,0.367,0.25,0.208,0.132,5,30,89.9,20.8,2415,87.6,87.35,21,68,69,-0.2,6.31,1.0,-1.0,162,3,5,001002200,0
13,45015NYMDH0,0,76,1,1.0,137,0.167,0.2,0.235,0.367,0.25,0.208,0.132,5,30,89.9,20.8,2415,87.6,87.35,21,68,69,-0.2,6.31,1.0,-1.0,157,0.25,0.031,0.276,0.281,0.291,0.333,0.261,8,32,90.1,-5.4,2271,92.7,92.24,21,77,80,-0.5,6.14,0.9,-0.9,162,5,3,000003000,1
14,45015NYYDH0,0,39,1,1.0,150,0.133,0.0,0.286,0.133,0.17,0.213,0.17,4,30,91.4,12.7,2311,92.5,90.35,23,72,78,-2.1,6.24,4.5,-4.5,126,0.25,0.188,0.429,0.438,0.315,0.281,0.202,8,32,88.3,9.5,2018,87.6,86.91,22,60,66,-0.7,6.72,-0.4,0.4,153,5,0,000000000,1
15,45015SFDH0,0,39,1,1.0,126,0.25,0.188,0.429,0.438,0.315,0.281,0.202,8,32,88.3,9.5,2018,87.6,86.91,22,60,66,-0.7,6.72,-0.4,0.4,150,0.133,0.0,0.286,0.133,0.17,0.213,0.17,4,30,91.4,12.7,2311,92.5,90.35,23,72,78,-2.1,6.24,4.5,-4.5,153,0,5,10020020x,0
16,45015LAADH0,0,52,1,1.0,135,0.207,0.069,0.353,0.276,0.253,0.222,0.169,6,29,92.1,27.6,2260,87.2,87.54,17,61,74,0.2999999999999971,6.5,1.9,-1.9,155,0.161,0.0,0.217,0.161,0.191,0.284,0.235,5,31,91.9,16.9,2144,87.7,87.47,15,74,81,-0.2,6.15,4.0,-4.0,150,1,2,00000002x,0
17,45015OAKDH0,0,52,1,1.0,155,0.161,0.0,0.217,0.161,0.191,0.284,0.235,5,31,91.9,16.9,2144,87.7,87.47,15,74,81,-0.2,6.15,4.0,-4.0,135,0.207,0.069,0.353,0.276,0.253,0.222,0.169,6,29,92.1,27.6,2260,87.2,87.54,17,61,74,0.2999999999999971,6.5,1.9,-1.9,150,2,1,000010000,1
18,45015COLDH0,0,56,1,1.0,133,0.219,0.094,0.304,0.313,0.234,0.269,0.239,7,32,91.7,7.7,2354,92.0,90.65,13,58,75,-1.4,5.63,2.0,-2.0,187,0.386,0.295,0.583,0.682,0.456,0.266,0.242,17,44,87.6,8.7,2264,90.1,90.35,33,97,90,0.3000000000000113,6.76,-3.0,3.0,176,7,2,100100000,1
19,45015SDDH0,0,56,1,1.0,187,0.386,0.295,0.583,0.682,0.456,0.266,0.242,17,44,87.6,8.7,2264,90.1,90.35,33,97,90,0.3000000000000113,6.76,-3.0,3.0,133,0.219,0.094,0.304,0.313,0.234,0.269,0.239,7,32,91.7,7.7,2354,92.0,90.65,13,58,75,-1.4,5.63,2.0,-2.0,176,2,7,100031200,0
20,45015CLEDH0,0,54,1,1.0,129,0.233,0.167,0.25,0.4,0.295,0.342,0.269,7,30,92.1,15.2,2311,88.3,88.84,12,62,67,0.5,6.46,1.5,-1.5,121,0.129,0.032,0.182,0.161,0.126,0.172,0.178,4,31,84.2,19.4,2319,92.2,91.57,21,66,55,-0.6,5.88,4.2,-4.2,134,0,3,00000003x,0
21,45015SEADH0,0,54,1,1.0,121,0.129,0.032,0.182,0.161,0.126,0.172,0.178,4,31,84.2,19.4,2319,92.2,91.57,21,66,55,-0.6,5.88,4.2,-4.2,129,0.233,0.167,0.25,0.4,0.295,0.342,0.269,7,30,92.1,15.2,2311,88.3,88.84,12,62,67,0.5,6.46,1.5,-1.5,134,3,0,000000000,1
22,45015STLDH0,0,70,1,1.0,204,0.442,0.07,0.559,0.512,0.422,0.37,0.321,19,43,86.8,2.4,2380,89.8,89.79,23,106,98,0.0,6.49,-3.1,3.1,180,0.366,0.195,0.419,0.561,0.428,0.358,0.297,15,41,87.0,6.0,2264,90.2,91.01,24,75,105,0.7999999999999972,6.74,-4.4,4.4,218,9,10,310100122,0
23,45015TORDH0,0,70,1,1.0,180,0.366,0.195,0.419,0.561,0.428,0.358,0.297,15,41,87.0,6.0,2264,90.2,91.01,24,75,105,0.7999999999999972,6.74,-4.4,4.4,204,0.442,0.07,0.559,0.512,0.422,0.37,0.321,19,43,86.8,2.4,2380,89.8,89.79,23,106,98,0.0,6.49,-3.1,3.1,218,10,9,102201120,1
24,45015DETDH0,0,72,1,1.0,141,0.207,0.207,0.2,0.414,0.301,0.341,0.237,6,29,89.2,17.1,2113,88.9,88.45,14,62,79,-0.5,6.22,-0.2,0.2,131,0.188,0.063,0.231,0.25,0.232,0.237,0.182,6,32,89.4,11.0,2266,91.6,91.17,22,71,60,-0.4,6.76,4.5,-4.5,134,0,4,00100201x,0
25,45015TBDH0,0,72,1,1.0,131,0.188,0.063,0.231,0.25,0.232,0.237,0.182,6,32,89.4,11.0,2266,91.6,91.17,22,71,60,-0.4,6.76,4.5,-4.5,141,0.207,0.207,0.2,0.414,0.301,0.341,0.237,6,29,89.2,17.1,2113,88.9,88.45,14,62,79,-0.5,6.22,-0.2,0.2,134,4,0,000000000,1
26,45015PHIDH0,0,69,1,1.0,174,0.313,0.219,0.364,0.531,0.411,0.375,0.29,10,32,88.6,13.0,2364,88.2,88.67,19,77,97,0.5,6.57,-7.0,7.0,161,0.308,0.333,0.44,0.641,0.398,0.281,0.215,12,39,85.3,18.5,2452,94.4,95.17,24,82,79,0.7999999999999972,6.58,-2.0,2.0,184,7,11,00092000x,0
27,45015TEXDH0,0,69,1,1.0,161,0.308,0.333,0.44,0.641,0.398,0.281,0.215,12,39,85.3,18.5,2452,94.4,95.17,24,82,79,0.7999999999999972,6.58,-2.0,2.0,174,0.313,0.219,0.364,0.531,0.411,0.375,0.29,10,32,88.6,13.0,2364,88.2,88.67,19,77,97,0.5,6.57,-7.0,7.0,184,11,7,022110100,1
28,45015ATLDH0,0,45,1,1.0,143,0.242,0.03,0.276,0.273,0.269,0.251,0.207,8,33,87.7,8.8,2395,86.5,70.6,19,72,71,-15.9,6.34,3.8,-3.8,177,0.3,0.05,0.364,0.35,0.337,0.415,0.301,12,40,92.4,4.0,2124,88.9,79.61,22,83,94,-9.3,6.62,-2.2,2.2,187,7,2,010010000,1
29,45015WSHDH0,0,45,1,1.0,177,0.3,0.05,0.364,0.35,0.337,0.415,0.301,12,40,92.4,4.0,2124,88.9,79.61,22,83,94,-9.3,6.62,-2.2,2.2,143,0.242,0.03,0.276,0.273,0.269,0.251,0.207,8,33,87.7,8.8,2395,86.5,70.6,19,72,71,-15.9,6.34,3.8,-3.8,187,2,7,030100003,0
30,45016CWSDH0,0,73,2,1.0,145,0.25,0.143,0.316,0.393,0.368,0.406,0.276,7,28,89.8,25.4,2386,90.1,90.24,23,64,81,0.1000000000000085,6.45,-2.1,2.1,140,0.297,0.108,0.423,0.405,0.322,0.261,0.229,11,37,85.7,1.5,2470,88.3,88.3,28,84,56,0.0,6.4,1.7,-1.7,160,3,6,00000231x,0
31,45016HOUDH0,0,73,2,1.0,140,0.297,0.108,0.423,0.405,0.322,0.261,0.229,11,37,85.7,1.5,2470,88.3,88.3,28,84,56,0.0,6.4,1.7,-1.7,145,0.25,0.143,0.316,0.393,0.368,0.406,0.276,7,28,89.8,25.4,2386,90.1,90.24,23,64,81,0.1000000000000085,6.45,-2.1,2.1,160,6,3,100002000,1
32,45016AZDH0,0,56,2,1.0,163,0.161,0.129,0.19,0.29,0.304,0.438,0.296,5,31,94.1,10.2,2324,89.1,88.56,28,73,90,-0.5,5.96,3.5,-3.5,122,0.206,0.147,0.214,0.353,0.249,0.31,0.279,7,34,90.4,10.0,2385,93.2,93.47,11,65,57,0.2999999999999971,6.49,2.9,-2.9,161,2,1,000000100,1
33,45016LADDH0,0,56,2,1.0,122,0.206,0.147,0.214,0.353,0.249,0.31,0.279,7,34,90.4,10.0,2385,93.2,93.47,11,65,57,0.2999999999999971,6.49,2.9,-2.9,163,0.161,0.129,0.19,0.29,0.304,0.438,0.296,5,31,94.1,10.2,2324,89.1,88.56,28,73,90,-0.5,5.96,3.5,-3.5,161,1,2,000000020,0
34,45016MIADH0,0,80,2,1.0,126,0.138,0.138,0.15,0.276,0.236,0.323,0.22,4,29,85.2,13.2,2265,92.0,91.1,19,59,67,-0.9,6.01,2.8,-2.8,115,0.313,0.25,0.32,0.563,0.377,0.355,0.28,10,32,87.0,3.7,2259,89.4,90.08,12,53,62,0.6999999999999886,6.92,1.3,-1.3,129,2,1,000000001,1
35,45016NYMDH0,0,80,2,1.0,115,0.313,0.25,0.32,0.563,0.377,0.355,0.28,10,32,87.0,3.7,2259,89.4,90.08,12,53,62,0.6999999999999886,6.92,1.3,-1.3,126,0.138,0.138,0.15,0.276,0.236,0.323,0.22,4,29,85.2,13.2,2265,92.0,91.1,19,59,67,-0.9,6.01,2.8,-2.8,129,1,2,01000001x,0
36,45016COLDH0,0,58,2,1.0,127,0.172,0.069,0.2,0.241,0.204,0.199,0.168,5,29,83.1,26.3,2324,86.9,87.09,6,56,71,0.1999999999999886,6.45,3.8,-3.8,141,0.257,0.086,0.308,0.343,0.305,0.33,0.266,9,35,82.1,1.5,2212,87.2,86.92,24,72,69,-0.3,6.22,0.4,-0.4,147,4,1,000000010,1
37,45016SDDH0,0,58,2,1.0,141,0.257,0.086,0.308,0.343,0.305,0.33,0.266,9,35,82.1,1.5,2212,87.2,86.92,24,72,69,-0.3,6.22,0.4,-0.4,127,0.172,0.069,0.2,0.241,0.204,0.199,0.168,5,29,83.1,26.3,2324,86.9,87.09,6,56,71,0.1999999999999886,6.45,3.8,-3.8,147,1,4,200020000,0
38,45016CLEDH0,0,45,2,1.0,150,0.206,0.118,0.333,0.324,0.275,0.236,0.17,7,34,87.3,18.7,2119,88.4,87.76,19,82,68,-0.6,6.64,1.0,-1.0,199,0.333,0.051,0.361,0.385,0.37,0.368,0.301,13,39,85.6,6.6,2130,88.4,87.88,27,99,100,-0.5,6.21,-2.8,2.8,185,9,4,102100000,1
39,45016SEADH0,0,45,2,1.0,199,0.333,0.051,0.361,0.385,0.37,0.368,0.301,13,39,85.6,6.6,2130,88.4,87.88,27,99,100,-0.5,6.21,-2.8,2.8,150,0.206,0.118,0.333,0.324,0.275,0.236,0.17,7,34,87.3,18.7,2119,88.4,87.76,19,82,68,-0.6,6.64,1.0,-1.0,185,4,9,030230010,0
40,45017BALDH0,0,56,2,2.0,152,0.297,0.459,0.28,0.757,0.459,0.426,0.295,11,37,92.6,14.2,2348,90.9,90.33,17,68,84,-0.6,6.34,-5.5,5.5,162,0.342,0.316,0.417,0.658,0.452,0.372,0.257,13,38,92.8,7.4,2257,90.4,90.89,26,76,86,0.5,6.64,-3.1,3.1,184,8,9,014000202,0
41,45017BOSDH0,0,56,2,2.0,162,0.342,0.316,0.417,0.658,0.452,0.372,0.257,13,38,92.8,7.4,2257,90.4,90.89,26,76,86,0.5,6.64,-3.1,3.1,152,0.297,0.459,0.28,0.757,0.459,0.426,0.295,11,37,92.6,14.2,2348,90.9,90.33,17,68,84,-0.6,6.34,-5.5,5.5,184,9,8,304100000,1
42,45017CHCDH0,0,39,2,2.0,144,0.188,0.031,0.316,0.219,0.234,0.259,0.212,6,32,85.5,1.7,2275,87.5,87.74,20,63,81,0.2000000000000028,6.42,1.7,-1.7,143,0.161,0.129,0.2,0.29,0.206,0.197,0.184,5,31,85.6,7.9,2321,90.4,91.32,22,68,75,0.8999999999999915,6.8,3.1,-3.1,152,1,3,000000030,0
43,45017MILDH0,0,39,2,2.0,143,0.161,0.129,0.2,0.29,0.206,0.197,0.184,5,31,85.6,7.9,2321,90.4,91.32,22,68,75,0.8999999999999915,6.8,3.1,-3.1,144,0.188,0.031,0.316,0.219,0.234,0.259,0.212,6,32,85.5,1.7,2275,87.5,87.74,20,63,81,0.2000000000000028,6.42,1.7,-1.7,152,3,1,000001000,1
44,45017CINDH0,0,45,2,2.0,151,0.206,0.029,0.318,0.235,0.22,0.202,0.17,7,34,86.3,14.7,2411,87.3,87.25,29,68,83,0.0,6.37,2.4,-2.4,132,0.2,0.333,0.158,0.533,0.337,0.345,0.253,6,30,89.7,23.6,2265,81.7,81.12,8,55,77,-0.6,6.04,-1.5,1.5,136,6,2,101000000,1
45,45017PITDH0,0,45,2,2.0,132,0.2,0.333,0.158,0.533,0.337,0.345,0.253,6,30,89.7,23.6,2265,81.7,81.12,8,55,77,-0.6,6.04,-1.5,1.5,151,0.206,0.029,0.318,0.235,0.22,0.202,0.17,7,34,86.3,14.7,2411,87.3,87.25,29,68,83,0.0,6.37,2.4,-2.4,136,2,6,30000300x,0
46,45017CWSDH0,0,73,3,1.0,174,0.306,0.028,0.393,0.333,0.332,0.302,0.234,11,36,88.1,15.3,2031,88.6,88.68,24,84,90,0.1000000000000085,6.5,-1.6,1.6,173,0.27,0.162,0.348,0.432,0.338,0.288,0.219,10,37,85.1,2.7,2286,88.9,86.8,31,86,87,-2.1,6.14,1.2,-1.2,191,4,6,20010012x,0
47,45017HOUDH0,0,73,3,1.0,173,0.27,0.162,0.348,0.432,0.338,0.288,0.219,10,37,85.1,2.7,2286,88.9,86.8,31,86,87,-2.1,6.14,1.2,-1.2,174,0.306,0.028,0.393,0.333,0.332,0.302,0.234,11,36,88.1,15.3,2031,88.6,88.68,24,84,90,0.1000000000000085,6.5,-1.6,1.6,191,6,4,010200001,1
48,45017KCDH0,0,55,2,2.0,127,0.161,0.032,0.208,0.194,0.181,0.315,0.285,5,31,89.3,17.7,2291,86.0,85.91,12,55,72,-0.1,6.72,2.9,-2.9,132,0.133,0.033,0.16,0.167,0.211,0.355,0.289,4,30,92.8,11.6,2358,87.3,86.74,15,61,71,-0.6,6.4,4.2,-4.2,138,0,2,100001000,0
49,45017MINDH0,0,55,2,2.0,132,0.133,0.033,0.16,0.167,0.211,0.355,0.289,4,30,92.8,11.6,2358,87.3,86.74,15,61,71,-0.6,6.4,4.2,-4.2,127,0.161,0.032,0.208,0.194,0.181,0.315,0.285,5,31,89.3,17.7,2291,86.0,85.91,12,55,72,-0.1,6.72,2.9,-2.9,138,2,0,000000000,1
50,45017AZDH0,0,64,3,1.0,145,0.267,0.467,0.2,0.733,0.445,0.456,0.293,8,30,87.9,11.8,2072,87.0,87.83,19,70,75,0.7999999999999972,6.75,-5.6,5.6,118,0.156,0.156,0.19,0.313,0.196,0.279,0.26,5,32,90.0,10.6,2229,87.0,87.21,20,59,59,0.2000000000000028,6.46,3.5,-3.5,134,1,10,50003011x,0
51,45017LADDH0,0,64,3,1.0,118,0.156,0.156,0.19,0.313,0.196,0.279,0.26,5,32,90.0,10.6,2229,87.0,87.21,20,59,59,0.2000000000000028,6.46,3.5,-3.5,145,0.267,0.467,0.2,0.733,0.445,0.456,0.293,8,30,87.9,11.8,2072,87.0,87.83,19,70,75,0.7999999999999972,6.75,-5.6,5.6,134,10,1,010000000,1
52,45017MIADH0,0,72,3,1.0,176,0.316,0.211,0.333,0.526,0.393,0.354,0.296,12,38,85.3,9.0,2145,89.1,89.16,15,72,104,0.1000000000000085,6.56,-0.7,0.7,152,0.278,0.139,0.391,0.417,0.327,0.304,0.248,10,36,89.0,11.7,2330,87.3,88.12,22,61,91,0.7999999999999972,7.0,2.1,-2.1,174,2,6,010120101,0
53,45017NYMDH0,0,72,3,1.0,152,0.278,0.139,0.391,0.417,0.327,0.304,0.248,10,36,89.0,11.7,2330,87.3,88.12,22,61,91,0.7999999999999972,7.0,2.1,-2.1,176,0.316,0.211,0.333,0.526,0.393,0.354,0.296,12,38,85.3,9.0,2145,89.1,89.16,15,72,104,0.1000000000000085,6.56,-0.7,0.7,174,6,2,020000000,1
54,45017NYYDH0,0,68,2,2.0,185,0.308,0.231,0.417,0.538,0.397,0.392,0.3,12,39,87.2,8.8,2529,91.2,91.16,31,89,96,0.0,6.3,-2.3,2.3,156,0.27,0.216,0.308,0.486,0.347,0.294,0.238,10,37,89.9,8.6,2363,90.2,89.93,16,66,90,-0.3,6.16,-0.8,0.8,192,5,7,000302002,0
55,45017SFDH0,0,68,2,2.0,156,0.27,0.216,0.308,0.486,0.347,0.294,0.238,10,37,89.9,8.6,2363,90.2,89.93,16,66,90,-0.3,6.16,-0.8,0.8,185,0.308,0.231,0.417,0.538,0.397,0.392,0.3,12,39,87.2,8.8,2529,91.2,91.16,31,89,96,0.0,6.3,-2.3,2.3,192,7,5,101010011,1
56,45017LAADH0,0,58,2,2.0,127,0.167,0.1,0.167,0.267,0.231,0.342,0.302,5,30,87.8,11.6,2176,86.3,86.18,14,58,69,-0.1,6.2,3.2,-3.2,154,0.306,0.139,0.333,0.444,0.357,0.34,0.26,11,36,94.3,11.2,2000,89.5,89.65,21,71,83,0.1,6.36,-7.4,7.4,144,13,1,000010000,1
57,45017OAKDH0,0,58,2,2.0,154,0.306,0.139,0.333,0.444,0.357,0.34,0.26,11,36,94.3,11.2,2000,89.5,89.65,21,71,83,0.1,6.36,-7.4,7.4,127,0.167,0.1,0.167,0.267,0.231,0.342,0.302,5,30,87.8,11.6,2176,86.3,86.18,14,58,69,-0.1,6.2,3.2,-3.2,144,1,13,00(11)001100,0
58,45017COLDH0,0,60,3,1.0,158,0.313,0.188,0.321,0.5,0.405,0.444,0.349,10,32,90.5,9.7,2185,89.8,89.3,19,68,90,-0.5,6.11,-3.0,3.0,117,0.194,0.226,0.208,0.419,0.305,0.363,0.241,6,31,86.7,25.1,1987,86.6,87.05,19,59,58,0.5,6.74,0.6,-0.6,160,4,8,20201102x,0
59,45017SDDH0,0,60,3,1.0,117,0.194,0.226,0.208,0.419,0.305,0.363,0.241,6,31,86.7,25.1,1987,86.6,87.05,19,59,58,0.5,6.74,0.6,-0.6,158,0.313,0.188,0.321,0.5,0.405,0.444,0.349,10,32,90.5,9.7,2185,89.8,89.3,19,68,90,-0.5,6.11,-3.0,3.0,160,8,4,000013000,1
60,45017CLEDH0,0,47,3,1.0,112,0.103,0.034,0.13,0.138,0.142,0.188,0.145,3,29,85.2,3.6,2533,87.1,86.76,9,51,61,-0.3,5.91,4.1,-4.1,131,0.156,0.188,0.143,0.344,0.25,0.304,0.215,5,32,88.5,4.7,2006,89.7,91.16,20,66,65,1.5,6.99,2.8,-2.8,124,2,0,000000000,1
61,45017SEADH0,0,47,3,1.0,131,0.156,0.188,0.143,0.344,0.25,0.304,0.215,5,32,88.5,4.7,2006,89.7,91.16,20,66,65,1.5,6.99,2.8,-2.8,112,0.103,0.034,0.13,0.138,0.142,0.188,0.145,3,29,85.2,3.6,2533,87.1,86.76,9,51,61,-0.3,5.91,4.1,-4.1,124,0,2,000100100,0
62,45017STLDH0,0,46,2,2.0,166,0.103,0.0,0.143,0.103,0.258,0.297,0.158,3,29,84.9,3.9,2309,88.9,88.67,17,64,102,-0.2,6.7,4.4,-4.4,122,0.303,0.0,0.4,0.303,0.292,0.306,0.273,10,33,92.8,11.7,2072,89.5,90.19,17,69,53,0.7000000000000028,6.69,-1.1,1.1,151,4,1,000000010,1
63,45017TORDH0,0,46,2,2.0,122,0.303,0.0,0.4,0.303,0.292,0.306,0.273,10,33,92.8,11.7,2072,89.5,90.19,17,69,53,0.7000000000000028,6.69,-1.1,1.1,166,0.103,0.0,0.143,0.103,0.258,0.297,0.158,3,29,84.9,3.9,2309,88.9,88.67,17,64,102,-0.2,6.7,4.4,-4.4,151,1,4,00300001x,0
64,45017DETDH0,0,72,2,2.0,191,0.361,0.278,0.6,0.639,0.477,0.359,0.257,13,36,90.2,7.5,2237,88.1,87.83,28,83,108,-0.3,6.36,-7.4,7.4,138,0.176,0.059,0.25,0.235,0.206,0.262,0.224,6,34,84.0,7.0,2329,87.8,87.68,22,72,66,-0.1,6.46,2.2,-2.2,168,2,12,10720020x,0
65,45017TBDH0,0,72,2,2.0,138,0.176,0.059,0.25,0.235,0.206,0.262,0.224,6,34,84.0,7.0,2329,87.8,87.68,22,72,66,-0.1,6.46,2.2,-2.2,191,0.361,0.278,0.6,0.639,0.477,0.359,0.257,13,36,90.2,7.5,2237,88.1,87.83,28,83,108,-0.3,6.36,-7.4,7.4,168,12,2,000101000,1
66,45017PHIDH0,0,71,2,2.0,220,0.425,0.275,0.5,0.7,0.48,0.392,0.321,17,40,92.1,7.4,2350,89.5,89.79,30,91,129,0.2999999999999971,6.48,-11.1,11.1,134,0.265,0.176,0.333,0.441,0.329,0.292,0.247,9,34,92.7,12.4,2162,89.6,89.81,13,59,75,0.2000000000000028,6.65,0.9,-0.9,190,3,16,20203063x,0
67,45017TEXDH0,0,71,2,2.0,134,0.265,0.176,0.333,0.441,0.329,0.292,0.247,9,34,92.7,12.4,2162,89.6,89.81,13,59,75,0.2000000000000028,6.65,0.9,-0.9,220,0.425,0.275,0.5,0.7,0.48,0.392,0.321,17,40,92.1,7.4,2350,89.5,89.79,30,91,129,0.2999999999999971,6.47,-11.1,11.1,190,16,3,000210000,1
68,45017ATLDH0,0,73,2,2.0,125,0.167,0.133,0.222,0.3,0.242,0.295,0.218,5,30,93.4,23.0,2317,91.9,92.37,22,70,55,0.5,6.96,3.0,-3.0,152,0.314,0.343,0.304,0.657,0.421,0.424,0.326,11,35,86.7,2.9,2168,88.3,88.37,17,72,80,0.1000000000000085,6.16,-2.1,2.1,141,7,1,000000001,1
69,45017WSHDH0,0,73,2,2.0,152,0.314,0.343,0.304,0.657,0.421,0.424,0.326,11,35,86.7,2.9,2168,88.3,88.37,17,72,80,0.1000000000000085,6.16,-2.1,2.1,125,0.167,0.133,0.222,0.3,0.242,0.295,0.218,5,30,93.4,23.0,2317,91.9,92.37,22,70,55,0.5,6.96,3.0,-3.0,141,1,7,202100200,0
70,45018BALDH0,0,43,3,1.0,164,0.368,0.132,0.433,0.5,0.404,0.386,0.325,14,38,84.8,18.1,2062,88.7,84.51,12,77,87,-4.2,6.49,-4.2,4.2,153,0.278,0.222,0.333,0.5,0.347,0.272,0.207,10,36,90.2,15.0,2213,89.7,82.09,18,74,79,-7.6,6.58,-0.2,0.2,164,5,9,11103021x,0
71,45018BOSDH0,0,43,3,1.0,153,0.278,0.222,0.333,0.5,0.347,0.272,0.207,10,36,90.2,15.0,2213,89.7,82.09,18,74,79,-7.6,6.58,-0.2,0.2,164,0.368,0.132,0.433,0.5,0.404,0.386,0.325,14,38,84.8,18.1,2062,88.7,84.51,12,77,87,-4.2,6.49,-4.2,4.2,164,9,5,000030200,1
